date,regime,direction,model_probability,veto_score,adjusted_confidence,action,position_size,signal_quality,veto_reasons,eth_price
2025-11-04,R5,SHORT,0.97,2,1.0,ENTER,1.5,C,btc_breakdown,3468.7981262602075
2025-11-05,R3,,0.0563,3,0.1463,NO_TRADE,0.0,D,"btc_breakdown,price_weakness",3355.7656536240447
2025-11-06,R3,,0.0743,3,0.1643,NO_TRADE,0.0,D,"btc_breakdown,price_weakness",3367.375317084321
2025-11-07,R3,,0.0878,2,0.1478,NO_TRADE,0.0,D,btc_breakdown,3339.504497951036
2025-11-08,R5,,0.9646,0,0.9646,NO_TRADE,0.0,C,,3419.91449452623
2025-11-09,R3,,0.0324,0,0.0324,NO_TRADE,0.0,D,,3459.0125375753905
2025-11-10,R3,,0.0355,0,0.0355,NO_TRADE,0.0,D,,3585.690547110349
2025-11-11,R5,,0.0149,0,0.0149,NO_TRADE,0.0,D,"vol_expansion,btc_strength",3529.39482776489
2025-11-12,R5,,0.9388,0,0.9388,NO_TRADE,0.0,C,,3454.8006521103084
2025-11-14,R5,SHORT,0.9638,2,1.0,ENTER,1.5,C,btc_breakdown,3184.0579340413674
2025-11-15,R3,,0.1244,5,0.2744,NO_TRADE,0.0,D,"btc_breakdown,vol_expansion,price_weakness",3168.772535417267
2025-11-16,R3,,0.0274,2,0.0874,NO_TRADE,0.0,D,vol_expansion,3153.0555686734547
2025-11-17,R3,,0.0274,4,0.1474,NO_TRADE,0.0,D,"btc_breakdown,vol_expansion",3124.144131203502
2025-11-19,R5,SHORT,0.9699,2,1.0,ENTER,1.5,C,btc_breakdown,3031.100409876064
2025-11-20,R5,,0.9226,0,0.9226,NO_TRADE,0.0,C,,2969.3699810791454
2025-11-24,R5,,0.0268,0,0.0268,NO_TRADE,0.0,D,,2857.3158908772043
2025-11-25,R5,,0.0231,0,0.0231,NO_TRADE,0.0,D,,2919.088482780641
2025-11-26,R3,,0.1522,2,0.2122,NO_TRADE,0.0,D,vol_expansion,2956.3001742168804
2025-11-29,R5,,0.0323,-1,0.0023,NO_TRADE,0.0,D,low_volatility,3008.023449398123
2025-12-03,R5,,0.0228,-2,0.0,NO_TRADE,0.0,D,btc_strength,3078.234943829877
2025-12-04,R5,,0.0392,0,0.0392,NO_TRADE,0.0,D,"vol_expansion,btc_strength",3177.1969787525845
2025-12-12,R5,SHORT,0.9762,2,1.0,ENTER,1.5,C,btc_breakdown,3188.57142610956
2025-12-17,R3,,0.0549,1,0.0849,NO_TRADE,0.0,D,price_weakness,2906.573710974167
2025-12-18,R5,,0.0207,-1,0.0,NO_TRADE,0.0,D,low_volatility,2853.067688889751
2025-12-19,R5,,0.2911,-1,0.2611,NO_TRADE,0.0,D,low_volatility,2935.880471346268
